zl-code,Zila Name,upz-code,Upazila Name,Male Literacy Rate,Female Literacy Rate,Students per Teacher in Govt. Primary Schhol (),Students per Teacher in Registered Primary School,Students per Teacher in Kindargarten School,Students per Teacher in Govt. Secondary School,Students per Teacher in Non Govt. Secondary School,Students per Teacher in Govt. College,Students per Teacher in Non Govt. College,Literacy Rate
79,PIROJPUR,7980,PIROJPUR SADAR,70.8,69.8,29,54,13,70,26,102,21,70.3
6,BARISAL,651,BARISAL SADAR,70.5,68.1,43,61,14,0,19,0,15,69.3
6,BARISAL,603,BABUGANJ,69.5,68.2,29,31,13,0,33,0,15,68.8
42,JHALOKATI,4240,JHALOKATI SADAR,69.9,67.8,38,25,17,36,32,62,27,68.8
79,PIROJPUR,7987,NESARABAD (SWARUPKATI),68.9,68.2,33,54,18,0,15,90,21,68.6
26,DHAKA,2672,SAVAR,71.6,63.9,67,88,78,31,53,31,31,68
79,PIROJPUR,7914,BHANDARIA,67.6,67.9,36,31,18,40,20,63,19,67.7
6,BARISAL,610,BANARI PARA,67.8,66.7,35,40,10,0,27,28,17,67.2
42,JHALOKATI,4273,NALCHITY,67.5,67,35,28,16,0,27,0,6,67.2
78,PATUAKHALI,7855,DUMKI,68.9,64.2,34,40,10,0,36,0,10,66.4
10,BOGRA,1020,BOGRA SADAR,68.6,62.6,37,46,23,25,30,29,153,65.7
19,COMILLA,1967,COMILLA ADARSHA,67.3,64.2,73,101,35,32,34,149,38,65.7
75,NOAKHALI,7510,CHATKHIL,63.8,67,50,61,17,37,48,61,21,65.6
65,NARAIL,6576,NARAIL SADAR,68.4,62.7,34,32,28,26,26,15,13,65.5
38,JOYPURHAT,3847,JOYPURHAT SADAR,69,61.6,36,43,22,32,32,146,14,65.4
42,JHALOKATI,4243,KANTHALIA,66.6,64.1,29,26,8,0,25,0,34,65.3
44,JHENAIDAH,4419,JHENAIDAH SADAR,66,64,50,45,45,80,25,39,24,65
79,PIROJPUR,7947,KAWKHALI,65.1,64.2,27,36,8,73,30,0,14,64.6
84,RANGAMATI,8487,RANGAMATI SADAR,69.7,58.6,34,20,15,31,29,75,0,64.5
27,DINAJPUR,2764,DINAJPUR SADAR,67.3,61,37,41,27,10,24,257,28,64.3
51,LAKSHMIPUR,5158,ROYPUR,62.7,65.4,62,32,15,44,47,107,38,64.2
42,JHALOKATI,4284,RAJAPUR,65.1,62.9,36,26,12,0,19,0,15,63.9
41,JESSORE,4138,KESHABPUR,66.8,60.6,47,58,16,25,27,106,18,63.8
1,BAGERHAT,108,BAGERHAT SADAR,65,62.1,33,36,21,38,26,19,24,63.6
15,CHITTAGONG,1537,HATHAZARI,65,62,68,0,19,0,57,0,39,63.5
30,FENI,3014,CHHAGALNAIYA,65.3,61.6,37,38,15,0,35,107,32,63.4
6,BARISAL,607,BAKERGANJ,64.3,62.4,46,42,15,0,27,43,13,63.3
6,BARISAL,602,AGAILJHARA,65.4,60.6,46,36,9,0,25,0,33,62.9
30,FENI,3029,FENI SADAR,64.6,61.1,51,62,57,49,36,131,39,62.8
13,CHANDPUR,1395,SHAHRASTI,61.1,64,57,52,11,0,46,0,32,62.7
67,NARAYANGANJ,6758,NARAYANGANJ,65.3,60,159,92,11,24,46,148,76,62.7
6,BARISAL,694,WAZIRPUR,64,61.1,34,46,11,0,34,0,19,62.5
15,CHITTAGONG,1574,RAOZAN,62.8,61.9,59,45,11,0,41,0,36,62.3
1,BAGERHAT,134,FAKIRHAT,63.9,60.1,36,42,26,35,28,0,25,62
65,NARAIL,6552,LOHAGARA,63.3,60.6,54,54,20,0,41,0,18,61.9
4,BARGUNA,428,BARGUNA Sadar,66.4,57.3,64,63,17,25,25,57,12,61.8
35,GOPALGANJ,3532,GOPALGANJ SADAR,64.4,59.2,46,36,21,26,37,21,27,61.8
