zl-code,Zila Name,upz-code,Upazila Name,% Extreme poor,% Poor,Total Area (A)(square km),Population (P),Density (per square km),Household (HH),Population per Household (P/HH),Literacy Rate (%)
1,BAGERHAT,108,BAGERHAT SADAR,18.6,35.9,272.73,266000,977,64022,4.15482178,63.6
1,BAGERHAT,114,CHITALMARI,30,50,131.63,97000,737,23201,4.180854274,56.8
1,BAGERHAT,134,FAKIRHAT,19.2,36.4,335.45,155000,462,38173,4.060461583,58
1,BAGERHAT,138,KACHUA,23.6,42.5,756.6,119000,157,28581,4.163605192,58.9
1,BAGERHAT,156,MOLLAHAT,26.7,46.1,191.99,139000,723,30264,4.592915675,56.2
1,BAGERHAT,158,MONGLA,22.7,41.9,460.9,295000,639,75968,3.883213985,60.7
1,BAGERHAT,160,MORRELGANJ,27,46.5,1461.2,137000,93,32383,4.230614829,57.2
1,BAGERHAT,173,RAMPAL,22.5,41.1,187.88,131000,697,28498,4.596813811,50
1,BAGERHAT,177,SARANKHOLA,28.2,48,160.68,138000,858,33133,4.165031841,62
3,BANDARBAN,304,ALIKADAM,23.2,42.9,885.77,49317,56,9422,5.234239015,31.3
3,BANDARBAN,314,BANDARBAN Sadar,15.6,30.8,501.98,88282,176,18934,4.662617513,49.3
3,BANDARBAN,351,LAMA,21.6,41,671.83,108995,162,22447,4.855659999,34
3,BANDARBAN,373,NAIKHONGCHHARI,26.3,46,463.6,61788,133,12218,5.057128826,31.3
3,BANDARBAN,389,ROWANGCHHARI,16.2,32.9,442.88,27264,62,6292,4.333121424,31
3,BANDARBAN,391,RUMA,23.4,42.3,492.09,29038,59,5917,4.907554504,28.9
3,BANDARBAN,395,THANCHI,31.7,53,1020.82,23591,23,4872,4.842159278,26.9
4,BARGUNA,409,AMTALI,12,22.8,720.75,271000,376,63212,4.287160666,52.8
4,BARGUNA,419,BAMNA,8.9,17.1,101.05,79000,787,19537,4.043609561,61.1
4,BARGUNA,428,BARGUNA Sadar,9.9,19.2,454.38,262000,575,62086,4.219952968,61.8
4,BARGUNA,447,BETAGI,10.3,19.6,167.75,117000,698,27922,4.190244252,60.1
4,BARGUNA,485,PATHARGHATA,6.1,12.9,387.36,164000,423,43085,3.806429152,60.5
6,BARISAL,602,AGAILJHARA,38.2,51.1,155.47,149456,961,32839,4.551173909,62.9
6,BARISAL,603,BABUGANJ,36.8,48.7,164.87,140361,851,31663,4.432965922,68.8
6,BARISAL,607,BAKERGANJ,42.2,55.4,411.36,313845,851,71537,4.387170276,63.3
6,BARISAL,610,BANARI Para,38.1,52.2,134.3,148188,1103,34186,4.334756918,67.2
6,BARISAL,632,GAURNADI,39.9,55.5,263.56,198739,1625,42065,4.724569119,60.9
6,BARISAL,636,HIZLA,49.5,62.3,150.54,188586,1253,41561,4.537571281,40.8
6,BARISAL,651,BARISAL Sadar,31,49.9,515.36,146077,283,30529,4.784860297,69.3
6,BARISAL,662,MHENDIGANJ,50,64.4,413.16,301046,719,65231,4.615075654,56
6,BARISAL,669,MULADI,44.1,58.2,284.66,174775,670,38394,4.552143564,48.6
6,BARISAL,694,WAZIRPUR,37.8,52.1,1106.31,234959,946,52959,4.436620782,62.5
9,BHOLA,918,BHOLA Sadar,35.7,49.2,316.99,430520,1042,88068,4.888495254,45.2
9,BHOLA,921,BURHANUDDIN,16.3,28.3,396.24,233860,822,48534,4.818477768,47.9
9,BHOLA,925,CHAR FASSON,14.9,28.2,373.18,456437,413,94649,4.822417564,43.5
9,BHOLA,929,DAULAT KHAN,18,30.3,512.91,168537,532,34670,4.86117681,41.6
9,BHOLA,954,LALMOHAN,15.2,27.8,168.83,283889,716,60988,4.654833738,40
9,BHOLA,965,MANPURA,19.4,32.8,176.58,76582,205,17080,4.483723653,32.1
9,BHOLA,991,TAZUMUDDIN,11.3,22.3,247.73,126940,247,28734,4.417762929,42.9
10,BOGRA,1006,ADAMDIGHI,5.1,13.1,162.44,195000,1156,49600,3.931451613,54.6
10,BOGRA,1020,BOGRA SADAR,9.1,17.6,239.61,555000,3143,131862,4.208945716,65.7
10,BOGRA,1027,DHUNAT,7.3,19.8,240.42,292000,1180,74897,3.898687531,35.6
10,BOGRA,1033,DHUPCHANCHIA,5.1,13.2,265.22,177000,1088,45390,3.899537343,51.7
10,BOGRA,1040,GABTALI,5.7,15.6,408.5,320000,1334,83411,3.836424452,46.6
