zl-code,Zila Name,upz-code,Upazila Name,% Extreme poor,% Poor,Density (per square km),Population per Household (P/HH),Literacy Rate (%),P/GD,wEP,wP,wD,wPHH,wLR,wPGD,Score
75,NOAKHALI,7510,CHATKHIL,-1.70328,-2.11323,0.83788,0.13493,1.91242,-0.45293,-0.170328,-0.633969,0.041894,0.0067465,0.9466479,-0.00226465,-1.70456905
84,RANGAMATI,8487,RANGAMATI SADAR,-1.68381,-1.92485,-0.99861,-0.03965,1.79004,-0.51573,-0.168381,-0.577455,-0.0499305,-0.0019825,0.8860698,-0.00257865,-1.68639745
15,CHITTAGONG,1537,HATHAZARI,-1.83954,-2.39204,0.85122,0.23943,1.67879,-0.45123,-0.183954,-0.717612,0.042561,0.0119715,0.83100105,-0.00225615,-1.6802907
15,CHITTAGONG,1574,RAOZAN,-1.56702,-1.83443,0.31265,0.149,1.54528,-0.67712,-0.156702,-0.550329,0.0156325,0.00745,0.7649136,-0.0033856,-1.4522477
65,NARAIL,6576,NARAIL SADAR,-1.25556,-1.17131,-0.40788,-0.16223,1.9013,-0.34,-0.125556,-0.351393,-0.020394,-0.0081115,0.9411435,-0.0017,-1.448298
75,NOAKHALI,7583,SONAIMURI,-1.70328,-2.09816,1.07078,0.277,1.40065,-0.35676,-0.170328,-0.629448,0.053539,0.01385,0.69332175,-0.0017838,-1.42749255
78,PATUAKHALI,7855,DUMKI,-0.57425,-0.81715,-0.34723,-0.07945,2.00143,-0.18732,-0.057425,-0.245145,-0.0173615,-0.0039725,0.99070785,-0.0009366,-1.31554845
84,RANGAMATI,8436,KAPTAI,-1.46969,-1.55562,-0.99619,-0.13334,1.2894,-0.54084,-0.146969,-0.466686,-0.0498095,-0.006667,0.638253,-0.0027042,-1.3110887
4,BARGUNA,485,PATHARGHATA,-1.25556,-1.50287,-0.76208,-0.38776,1.34503,-0.19021,-0.125556,-0.450861,-0.038104,-0.019388,0.66578985,-0.00095105,-1.3006499
51,LAKSHMIPUR,5158,ROYPUR,-1.0025,-1.21653,0.77116,0.03646,1.75667,-0.2608,-0.10025,-0.364959,0.038558,0.001823,0.86955165,-0.001304,-1.29568365
33,GAZIPUR,3332,KALIAKAIR,-1.46969,-1.64604,0.59164,-0.24884,1.35615,-0.10969,-0.146969,-0.493812,0.029582,-0.012442,0.67129425,-0.00054845,-1.2954837
